Nr.,Stadtteil,Einwohner mit Migrationshintergrund,Anteil Einwohner mit Migrationshintergrund an allen Einwohnern in %,Einwohner mit Migrationshintergrund unter 18 Jahre,Anteil Einwohner mit Migrationshintergrund unter 18 Jahre an allen Einwohnern unter 18 Jahre in %
101,Altstadt-Süd,8404,30.5,1016,47.7
102,Neustadt-Süd,10412,27.1,1362,35.6
103,Altstadt-Nord,6187,34.5,613,51.0
104,Neustadt-Nord,7886,27.6,1012,36.1
105,Deutz,4353,28.2,690,42.5
201,Bayenthal,2609,29.5,553,40.6
202,Marienburg,1759,30.8,395,42.2
203,Raderberg,1869,32.9,471,53.6
204,Raderthal,1058,22.1,226,30.6
205,Zollstock,6259,28.6,1230,45.5
206,Rondorf,2291,23.9,527,31.7
207,Hahnwald,425,20.1,91,20.3
208,Rodenkirchen,3491,21.9,495,24.5
209,Weiß,1037,17.7,208,19.5
210,Sürth,2435,23.0,564,26.3
211,Godorf,828,34.7,237,57.2
212,Immendorf,542,27.5,146,39.0
213,Meschenich,4566,58.7,1225,73.7
301,Klettenberg,1767,16.7,334,20.6
302,Sülz,6721,18.7,800,19.0
303,Lindenthal,5691,19.0,663,19.4
304,Braunsfeld,2246,20.9,314,25.1
305,Müngersdorf,2317,28.6,372,31.3
306,Junkersdorf,2741,20.7,488,20.1
307,Weiden,5339,32.4,1128,48.5
308,Lövenich,1630,18.8,318,21.5
309,Widdersdorf,2635,28.1,839,35.8
401,Ehrenfeld,12556,34.4,2252,54.2
402,Neuehrenfeld,6437,27.2,1299,38.0
403,Bickendorf,7193,42.9,1864,59.8
404,Vogelsang,2064,25.0,485,35.5
405,Bocklemünd/Mengenich,4020,38.8,1102,56.4
406,Ossendorf,4216,42.5,1218,53.9
501,Nippes,10094,28.9,1986,38.8
502,Mauenheim,1737,30.7,412,44.1
503,Riehl,3143,28.1,524,41.3
504,Niehl,7867,40.4,1897,58.0
505,Weidenpesch,4802,34.9,1112,55.6
506,Longerich,3444,25.6,751,37.5
507,Bilderstöckchen,7525,48.8,2066,66.0
601,Merkenich,1653,28.8,432,43.4
602,Fühlingen,407,19.4,80,20.7
603,Seeberg,7370,65.5,1764,76.1
604,Heimersdorf,1320,22.8,277,36.3
605,Lindweiler,1354,38.5,324,48.2
606,Pesch,1867,24.5,374,36.3
607,Esch/Auweiler,1474,22.1,347,28.6
608,Volkhoven/Weiler,3419,56.2,906,66.6
609,Chorweiler,9997,76.8,2514,83.7
610,Blumenberg,3741,65.0,929,70.5
611,Roggendorf/Thenhoven,1551,38.9,385,51.0
612,Worringen,2244,23.9,547,32.9
701,Poll,3308,29.1,808,43.1
702,Westhoven,1403,28.6,301,43.3
703,Ensen,2258,32.1,495,46.0
704,Gremberghoven,1745,61.0,517,82.7
705,Eil,3351,37.2,848,56.5
706,Porz,7085,49.2,1671,67.6
707,Urbach,4593,38.0,1083,55.5
708,Elsdorf,517,32.0,137,43.1
709,Grengel,1811,34.1,399,49.5
710,Wahnheide,2141,27.8,491,43.3
711,Wahn,2059,31.8,580,44.7
712,Lind,798,23.6,170,35.8
713,Libur,189,17.4,50,21.6
714,Zündorf,3284,27.5,778,40.0
715,Langel,442,13.8,82,15.4
716,Finkenberg,5221,78.9,1338,89.9
801,Humboldt/Gremberg,8221,54.2,1890,76.8
802,Kalk,12970,57.9,3057,82.6
803,Vingst,7492,58.2,2194,75.4
804,Höhenberg,6461,52.9,1439,73.8
805,Ostheim,6833,58.9,1891,74.1
806,Merheim,4382,41.3,1260,56.4
807,Brück,1977,19.9,433,26.8
808,Rath/Heumar,2165,19.1,466,26.3
809,Neubrück,4738,53.9,1272,72.1
901,Mülheim,20713,49.5,4690,69.9
902,Buchforst,3730,50.9,871,70.3
903,Buchheim,6164,48.9,1580,67.8
904,Holweide,7714,36.8,1896,51.1
905,Dellbrück,4291,20.0,912,26.2
906,Höhenhaus,4094,27.2,1035,39.3
907,Dünnwald,3787,32.7,1102,48.0
908,Stammheim,2868,38.5,594,50.8
909,Flittard,2075,26.3,529,40.9
